"burner","total_amount","x1_tx"
"8oYGPdUejqc7HCLfKSW8Jp8nxEcpsbzM19uUxq6MbcW2","668832201.832201"
"AE2Yy3jF7jF9Yxv2oqgGEE7Qz9eLed8AeENC77ViyBHR","665778602"
"6eRUgmvR2Ax5Kno4Nr4DCwMiLdgwpURBiJfRs81oKDL","50454849"
"Fdr45f9PR6FRzFGjVuBEqecAtJnrFHN1zxUX2Yrd5MBa","30000000"
"6AZ7h7qXh3JgiesDfCaszBwn9gfJcKszmLy21nzoRNeB","27642789.381213"
"DC3gBjNGwKEx3dYGhRprvwoTRE99iDCuM7SLo2mopvHx","19828946"
"6J8ixhNrNz8ayUcZP1uu4QwMSgvfanXLU7KjerryQVmG","8900000"
"2be8kSvG5GsGgtoZanB6V52zqmeR9b19cAAYCUnfmpjF","8769430"
"J34YCFon1N1YxPLM6YsEV5fptxLJXjP9mAiRTzPr5jm4","2569582"
"D794SmkvCeNbZ1Hfza1ZqCGBmaDnxy8Ri62hAVTFV4cP","1190783"
"3vDLJdyx7GQiEbCticnKuxu9gkg24d6wksz2ZF3oe735","1046726"
"HTjjXcuhpmaLxXR7FDN4mChFP3Q83H6cgSX7dLQyFrGT","1010101"
"5JB9e8XfzcRF8enEJUau8hqTorZ37Hy2Gwgh2Rwe9T6T","1010101"
"DctRu2jwaYtxwwhBdzfq1uZC8ucnnjEfwTWw4CJpPggH","840420"
"9krDbVdieARwzTocjFCj1pv2SWU85Vp5G3H5KbWALtG3","600069"
"8bXf8Rg3u4Prz71LgKR5mpa7aMe2F4cSKYYRctmqro6x","520000"
"8NUtAaehHdT7E8xkmLHuLpznTLyWjWgULcgMRYTj5bWe","462000"
"E9YVfZeiwTZfBYUQwUqSWR5RmwVWZwFYNvJmJH9WyoXc","430000"
"7JDGsCgo9rDM6LgTTDsEzzwfRW4oQi7Rjs8Gid7S2oWg","420000"
"Ap8iN4NGy1U7ovwreGMJSQ6r5X3VQ3bJpJ4hVra1xL8e","202420"
"9KfPpe1L7DYuMJWN1KiaLJmVkjg3mvHBAEJigWQZh4XJ","133337"
"2krhCgFwtMtkSuDcvyAeLcSNVSyVvURwBohqRxTDRVeM","128229"
"9Y6Huy3nWMZ4dvREKnkHmdh7v92PHThq9Bp7EGQzSG8u","100001"
"baM5DY5c9z68zYfvQFDsUjwjRrMbqDroGD5RjPq6pxr","88888"
"rG3Zcf2Z5A6s8zWJDVT1d1yZRcEmunWxAVSzN2gBYtH","69420"
"AH9nHcZBfW9fupHyh85LnntRgH2KzDGz3AQipNkCbBfs","69420"
"8iJVdgSEGP5hatu9uYcBy9gAiEdynnGxKfNe5dBPR3Wd","48328"
"62dFPnb2m6NZHbcbBdqEAVVESLDCQnJGT7vZbXKhwQ5L","42489"
"rWpFVVhFgrb3wCvn6DVc279iKMWmsAoQYmN8wqno7WJ","42069"
"7TR16MVFNcHCzhZn8xJuPAiBmN1eMMBA7JAqCyojgdHL","42069"
"6CJjohPmGr8tieL9kYgs1s7678kCTLpQF5r1XCGbmNLY","42069"
"37RctDqMxWoSGhSB3VT4m6vQ3JJwp2AaveEnB9huSL5c","42069"
"2fwQsub3hcnrLEEt8nFhAm2u3nSCTsM8M62nU9mK51qP","42069"
"GziRykmBrWTSU2KtXTMhU9M4tu2FeQWCKdzjyCKJooDX","21536.037917"
"35WqVEL63nfXr7wEwmFKvuQpENtiYUobdeKT1rqNmxxy","13337"
"99z6qFMbVueZZ2MCTkyacksxpks6RYGUzY3prUU3a9mM","11525"
"DS4WoBrBDw1Dbvaxt3n7yjkiJaWFbGuM3LVyxT5Svgr4","9200"
"6UdHWxdpC9zVV5XVvNerya7Dio3mnscgz1Np9t1Yxmuc","6969"
"3ECoXuJMzU3C8MFaFo9Uf8n2kEu549aXfvo8Sfb69Upz","6201"
"8M678M56GSawtevfDNDNDr1bYXSu68NVRK8GHwkPg99H","2100"
"27ZtTR5Uw2w3AFzKuY1QUpqGFeHAMegzvR48oK8UpWFT","2000"
"DV14FBBsdP9i8fmjpShz6eGSXvaDSDmJJYTWQhMzjCk8","1420"
"HDjBpFASc8hCkJahjJEDu2KVQaJuVUFqQVs5J4aTunfu","1337"
"6aES4XubVqRDjWPC7UDBBKbbczFJ5LEpLWCWSPocCqnU","840.69"
"ARCAa7C7VH3tmLoPmTZsDvypSub3WJP8UwAPvRe2qPY1","840"
"Bkqe1N9RaL724ckmBHwcLMGw2HN2D9JEJkR6bbZCAKLm","420"
"3rU4r92qr82YVq2B33xD8dmKXuGrN1wBc27Cx6nbKXAo","420"
"4CCRJ15pGhMvomxZS16hnA1JDu9GBDaQJkWqZgtkbyDC","0.000003"
