"burner","total_amount","x1_tx"
"baM5DY5c9z68zYfvQFDsUjwjRrMbqDroGD5RjPq6pxr","88888
","6BEaYHg563ATatoQdKjG5m4nnKUaTqtFV7vv6fY3EeWBPAX2xpBXs2qrTS6debf2EuRfsS5VkVBPinAwnW27LqX"
"rG3Zcf2Z5A6s8zWJDVT1d1yZRcEmunWxAVSzN2gBYtH","69420
","4d3H2g2qxHgni4xhGEbe9d9edAQZ1t2Hp6K8JaxK28xuahyFB4AFGHrbBz57LUDsM31cdQXgTM564yy5T4kjaRnN"
"AH9nHcZBfW9fupHyh85LnntRgH2KzDGz3AQipNkCbBfs","69420
","Xw3EqofyaUN4ceuFL1t798dBNeEmzoG8DPK2sfc6ZCMoYkcBWPyWdmztXiAHb1gmvfiHp5G68N36kznvfoU5xYo"
"8iJVdgSEGP5hatu9uYcBy9gAiEdynnGxKfNe5dBPR3Wd","48328
","4eUsVdYdS7UrQs1A7RmmxRQ9ZvyMpweKXb1sy8vwaMyNRY9mg1HKAzWaLosTXdKg8ebM1aPbJ3Y9Ce1thuEnCGFU"
"62dFPnb2m6NZHbcbBdqEAVVESLDCQnJGT7vZbXKhwQ5L","42489
","3R9Nn5NgL4CjcLGdGHQZJQR4YWcXQuF5HzG4aEyHExQLJYgujoWBqPwHFnWm5Y7uFTDfmawvwbxG9srQdJisbALn"
"rWpFVVhFgrb3wCvn6DVc279iKMWmsAoQYmN8wqno7WJ","42069
","4tMKfGn8VBsdDz83Ztr7p2mL8nATLZpghv3FrJcmhWpxhhzH5xzbdWh9FmK5RPjsTfSDXo64nRY3Rv62ZrNECw7e"
"7TR16MVFNcHCzhZn8xJuPAiBmN1eMMBA7JAqCyojgdHL","42069
","5ZH9Bm7XgjRQCGKBafojCyBkmdF9TwLsc58gU5L3qtSSegAVdMYaU5mWTMQNaphPGzsZ7sMm6tFg3KJ3HvACVApf"
"6CJjohPmGr8tieL9kYgs1s7678kCTLpQF5r1XCGbmNLY","42069
","66XQEMYD7mof6wEnnnMfvZLxy6Xbv9i7Tv31hXyANEvu1qzfSTPSRLpvENqgyGxRYqY9vbpwguGyn6KrpRKv5xtB"
"37RctDqMxWoSGhSB3VT4m6vQ3JJwp2AaveEnB9huSL5c","42069
","5RAK2umF7PAruh8iZgP6janV6zxhwCvjX2nYYdWb51XM6DpWDbCTzmUu7NivyD5WDMS882DNr521Agkq6Brwg2kN"
"2fwQsub3hcnrLEEt8nFhAm2u3nSCTsM8M62nU9mK51qP","42069
","2MHX2Pg8J1E476ek8RXgWt429Dqo8xGaYr6Ev47TDu4UZz8JomJy5hicHAteDvcAaL6cusyQ2XK3WLBrGQFXtzd9"
"GziRykmBrWTSU2KtXTMhU9M4tu2FeQWCKdzjyCKJooDX","21536.037917
","5QXnmj1bCJe8yhecv3XVEijZd7htUs6QzB35KixxkGNtJshvMdSqeUEyxjQoRbPcffwrpiMvbrud5KnZantjRczv"
"35WqVEL63nfXr7wEwmFKvuQpENtiYUobdeKT1rqNmxxy","13337
","uPvGBjzkcxbNzQJSASHxLkiNUrk6pdLonHnN7yhdJk9BxS7cKMEy1za5jGZB1wN2z1tTUSRvJiABtU85HguSMxv"
"99z6qFMbVueZZ2MCTkyacksxpks6RYGUzY3prUU3a9mM","11525
","4z1yXrypsbsbL4kbU585KWiNKaSYVsqid1Nw5m9BD8bVdB4ZMrSQvGRZRQn79EfQg3Kh4VCsnWBJFBMEr76aSXWf"
"DS4WoBrBDw1Dbvaxt3n7yjkiJaWFbGuM3LVyxT5Svgr4","9200
","5ZuoJsmNkA7srZixaLrUjj7MEnVkDPjYyRbf6NtWihoYz65CqVgfo27vnpBv3BCq86os2Tq2cFa4HdLUqhvaUk85"
"6UdHWxdpC9zVV5XVvNerya7Dio3mnscgz1Np9t1Yxmuc","6969
","2FgHUyCtZ5H5vqKQjFy4AMA59eufDhoF4kNky5LHxUe4VKPLNddsSnNSuCDQGuz1vtQ7MdHzPBf25B37zNoUQk6L"
"3ECoXuJMzU3C8MFaFo9Uf8n2kEu549aXfvo8Sfb69Upz","6201
","454JJ1iTPzUFFhmYHPpyJxzJihDXioxgwRZYVJ5VVgYD8PR1ESXhJa4wvDNUhWTyWjR4XqFU89vGAuNYYJE6ufnh"
"8M678M56GSawtevfDNDNDr1bYXSu68NVRK8GHwkPg99H","2100
","3ekqeCVBDL8g3PjRzwrDk3HAyMpqJSWZsebXYfVvnHC1CHBmniwxFwit8Uchy1YJqLYk8C5qhku7xv7kx8QAz9fr"
"27ZtTR5Uw2w3AFzKuY1QUpqGFeHAMegzvR48oK8UpWFT","2000
","zeaEc5BN8qUnCojUUkRYEoiGDaHUm2NRjXvx3bvdHZZ15UHi74hsjzQ5W7ejd5PwmcDCbgEpstSQF4NDkWTFg4t"
"DV14FBBsdP9i8fmjpShz6eGSXvaDSDmJJYTWQhMzjCk8","1420
","2vEtC89Src7kpY7ebrYGAYo6NdJLme7c88fKtcAfCxNKkz4dPNdHeMQLYqA4xJwGosQcypEWQ2iP5yWpgUxK47TF"
"HDjBpFASc8hCkJahjJEDu2KVQaJuVUFqQVs5J4aTunfu","1337
","59f9J3UcDzqCdn2tBEHjPBSWuaEPcEs5TFi3SmiBzDD7ZNeswo7uXpAtrkx2egwY8mmUDqy6jeYZQip2JHkHvgXH"
"6aES4XubVqRDjWPC7UDBBKbbczFJ5LEpLWCWSPocCqnU","840.69
","rpmK8upD5253pE2qE22WTtmgc94fxpjM2FmzVzpBtWCwmrLq3f261SRjcib93UHBfCcpv2YyKmageJCjamQaPet"
"ARCAa7C7VH3tmLoPmTZsDvypSub3WJP8UwAPvRe2qPY1","840
","UNsfZWxhGqWtibYVBr7FnFLQRU4QRQEwADSwpvBkHs4d7WeLiPbDvz7UX4QyBQaenPqnLahe31NznLE3WpjoiX9"
"Bkqe1N9RaL724ckmBHwcLMGw2HN2D9JEJkR6bbZCAKLm","420
","5sWrRqPJWr6GUEtWAKrvkA1RimV6XwtAi9B442W2FyDEmgzWocbNckqLpfur15Wi17xoe1VvA8xUmQWsU9Qg3NZt"
"3rU4r92qr82YVq2B33xD8dmKXuGrN1wBc27Cx6nbKXAo","420
","5GajrKaLJWxnG2jif64NTwXpMgKqiw7SiRtHFZj2VovHb7AGb4dA53VQpeCDNCX89CtkUdc4JCfYq5JNEdpPyk5K"
