"burner","total_amount","x1_tx"
"8oYGPdUejqc7HCLfKSW8Jp8nxEcpsbzM19uUxq6MbcW2","668832201.832201","SUX57AH7mehSrFEAMgsUSkTimypxiC2GE4GxY9hYZJzvfaJPHhJYgJnvNdQZouQk668x6TrAHD9WsPzBDosx4cw"
"AE2Yy3jF7jF9Yxv2oqgGEE7Qz9eLed8AeENC77ViyBHR","665778602","4UYdQgMsCQQKxEwJQGWn7mnFcLEKnGajAynmSB3zwkmifWBbWHmdhn7fBtCWW2XoceBAm3G4vdgvuMyYsGESBSC9"
"6eRUgmvR2Ax5Kno4Nr4DCwMiLdgwpURBiJfRs81oKDL","50454849","3Q32NpsyaXx7frAALgr4wtPF3bnMU2wa5hg88jMezJmFHEvP3epwKX9qi5DSMeubUbKVdHC8XaQLNkaQTkMRhnpM"
"Fdr45f9PR6FRzFGjVuBEqecAtJnrFHN1zxUX2Yrd5MBa","30000000","4PK18PyPCTHs8v1c8hxcaAwmiTL2MyUByKtHmVj3mNPxmTNjtfj5u1aZZPuYFYKUoG9xdWjEQqbSkgJayuZuBXJg"
"6AZ7h7qXh3JgiesDfCaszBwn9gfJcKszmLy21nzoRNeB","27642789.381213","2kMU6A8wKNiWoof2PMeBbiiaJCKN7cJeXFKPDJw4f1rQzpMYLsapi6JFaYp12aZ5LjwQbk2MjFYpweuhYCdfhPaS"
"DC3gBjNGwKEx3dYGhRprvwoTRE99iDCuM7SLo2mopvHx","19828946","488tgzxpLWL9KuBaJFc4GjouFgXnzdT9BRm9vcq4aHBqLQqw3rJh5jwoxhnJ6cEYEbiP8xionWyJfznL8vFTjpSR"
"6J8ixhNrNz8ayUcZP1uu4QwMSgvfanXLU7KjerryQVmG","8900000","6DbzRAgQCECtsCc4piDzwC5yorwsvx9vFP3VaKahEFif5aieVfgu44SHSpdmhXEHqRYsxjWJ219QJ5tML2T1Sj3"
"2be8kSvG5GsGgtoZanB6V52zqmeR9b19cAAYCUnfmpjF","8769430","amtjWNeQtvTKYhEseTzmG9yRuUKxYhTLjc4dVaMqeaHCYtVRBxWh5b2o1i1mtknsfqAWutCyaPjmkuMDE7ynsBq"
"J34YCFon1N1YxPLM6YsEV5fptxLJXjP9mAiRTzPr5jm4","2569582","3MjYwvPR62HrRYedNCn3N3nEW71nPLUwgenfZnmLDEAxQsvJfA8xn4qD8f1XRZE24b7zv9fhJDdj536ySLHiLvX5"
"D794SmkvCeNbZ1Hfza1ZqCGBmaDnxy8Ri62hAVTFV4cP","1190783","3XbcvogjfokKBamupe4M3cxgmf6mqnogtopKN1GCrnNYgDLN9FNnLaeQeacSz8HmguphRCDvBpg7hqYM1PA5DspN"
"3vDLJdyx7GQiEbCticnKuxu9gkg24d6wksz2ZF3oe735","1046726","4azmeHst2tJh9A4MBa4ovZHof1exKQDG5RwPmELkCq3CpziLkDvxdpDSFvQPVrScjARDn1gykD2e9ckBDf4mnpw5"
"HTjjXcuhpmaLxXR7FDN4mChFP3Q83H6cgSX7dLQyFrGT","1010101","3WHyJz5TeXq4L3KKreaCvyj2c4K9zRhkzkEsAGo1dGp7YVbDPtwW5DMNa5B1yhdiNymXgK82hYoAgfETie1RiJcK"
"5JB9e8XfzcRF8enEJUau8hqTorZ37Hy2Gwgh2Rwe9T6T","1010101","59q7wjaAEiGrq3qgCvSYAPMxpE75Ucqq7APaRTwLdNtawady2yaB7U7ku1HD524cCeNfVYj6Yjoi2tfamUdWRptL"
"DctRu2jwaYtxwwhBdzfq1uZC8ucnnjEfwTWw4CJpPggH","840420","3V1nucrxdD7683TTWPGnamoYSXz8tgyrMfBWShuf3i3jdjVM5R7VgMQ4RV2Eqd1EALLxG55t6DVtB9ZmRh2u9hhw"
"9krDbVdieARwzTocjFCj1pv2SWU85Vp5G3H5KbWALtG3","600069","SUuCk9uEShogvTpvLNxRu2kT8VPfyGsgntH7kks9sqsUfqpiT16DWPDCZ43tmez7N4HVd2QELkoHAQrNjxwtsUh"
"8bXf8Rg3u4Prz71LgKR5mpa7aMe2F4cSKYYRctmqro6x","520000","5uJ3NaZTgV9BPshaKLwb1ChMAxKUjiA5bmtLkioPmir2wcRYz1tu7kccMZhNFZewmRqPbWkGeq5EE3xHr91iCPKJ"
"8NUtAaehHdT7E8xkmLHuLpznTLyWjWgULcgMRYTj5bWe","462000","361PmqLfd8XnJ4KiRQyxse2a74qtS3ChsXapj3VYVQtmAe1BmXLrDmEYmNrYaEVuMxYaAPKMqm1CWM88Y5zDhjJY"
"E9YVfZeiwTZfBYUQwUqSWR5RmwVWZwFYNvJmJH9WyoXc","430000","312sJEPquLhpJvRbnf3Ue9ZkqxRY6vEALS2MQhXtS7hTtkEsyUmzZYpppMTG8mnZzmHL5qC4CxqSEE3cADoHHWAo"
"7JDGsCgo9rDM6LgTTDsEzzwfRW4oQi7Rjs8Gid7S2oWg","420000","4J9wFzxDEzJt7AAECpdxmvxKfU2nZBez69kofVjPRyBfiCguN3Hjh6mDpFymHQSBewcDGTKrujis26U1Ee8iK17n"
"Ap8iN4NGy1U7ovwreGMJSQ6r5X3VQ3bJpJ4hVra1xL8e","202420","6vGo1uCJ97poFJ3iSiMda1dKo7wiH5Qp91Eo27WnmR1Tkq7QeRPFKuREBJ7uR2WGkWrhj4y5PbsJQhdTxFUCcQ6"
"9KfPpe1L7DYuMJWN1KiaLJmVkjg3mvHBAEJigWQZh4XJ","133337","4sooGsRf66kCg4hfv9wwetzN8wcD8o2G4Sp8kMDvAtXugK2b3gfQHG1N6TqT9vaF4mSonSDrgV7mWykuLJ9wviyf"
"2krhCgFwtMtkSuDcvyAeLcSNVSyVvURwBohqRxTDRVeM","128229","2QYmbk3reA6M64KN5GizMzfUB9k2PuGFVwd6wcitaNKmY4FZb54viNKBQaT1NGgLtq8Vi8DBErvVUFKedFLiyM3N"
"9Y6Huy3nWMZ4dvREKnkHmdh7v92PHThq9Bp7EGQzSG8u","100001","4hHULjFNtpzJP7rpvYRs8wMEjxbdvjQ7jY7cqimCDxWT614DApmCJM888LSCRzbJ3LrzAJJvZwoh3awjV1dygNcG"
"baM5DY5c9z68zYfvQFDsUjwjRrMbqDroGD5RjPq6pxr","88888","8NpwaRutohArdqEhzfdLRhoNTiHfiYu9Lg2oerukX7eBmofyPZjTQVShRiZbcE7Qw74hHDAfKQwe7ip3jiURnvb"
"rG3Zcf2Z5A6s8zWJDVT1d1yZRcEmunWxAVSzN2gBYtH","69420","35xJe3SCh651aB3LUkGVnKrcxPZ2wXDkDWm7qEMQGEXGvVRSofhDMGkub7p7UBQBYZPLtt2sUFJYngAJZ7b5gKiV"
"AH9nHcZBfW9fupHyh85LnntRgH2KzDGz3AQipNkCbBfs","69420","3wLY6nJSm2nbMAE3a1DRmJZu5zyGyd2q8xa6uox6MJ6aEe8nqVuXtQtYyxxajKpMXpgxKhGFyxZwCkQiR6m5pSd5"
"8iJVdgSEGP5hatu9uYcBy9gAiEdynnGxKfNe5dBPR3Wd","48328","4VTjaTtNXuws4XDojBhJNLwug2v6gBhe7HLgKCqhtwLKCP1djZjaFfcPWC8eNpWRwmiihMLFSqZbcGJL5bXYiz7J"
"62dFPnb2m6NZHbcbBdqEAVVESLDCQnJGT7vZbXKhwQ5L","42489","37MtP5LzwyAL7DT2dmx2xJUkdtosPizY1zkWDpX913ybfebcBZpDiWBhe27UQqSm69qgRvv5TTYDMnHf7yud32f"
"rWpFVVhFgrb3wCvn6DVc279iKMWmsAoQYmN8wqno7WJ","42069","3QABhwPPHUis5iEeov53tGm9Gg9T9uzizeTXoyVXtDYpk8nYgTCuz3uyzWmavSQXNgAKAhWRJ9hYZfnYnCDMkNQa"
